code	name	badHealthHi	badHealthLo	goodHeathHi	goodHeathLo	ownershipHi	ownershipLo	rentingHi	rentingLo	youngHi	youngLo	oldHi	oldLo	christianHi	christianLo	aethiestHo	aethiestLo	asianHi	asianLo	blackHi	blackLo	whiteHi	whiteLo
synE07000106	Canterbury	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false
synE07000107	Dartford	false	true	true	false	false	false	false	false	true	false	false	false	false	false	false	false	false	false	false	false	false	false
synE07000108	Dover	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false
synE07000109	Gravesham	false	true	true	false	false	false	false	true	false	false	false	false	false	false	false	false	false	false	false	false	false	false
synE07000110	Maidstone	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false
synE07000111	Sevenoaks	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false
synE07000112	Shepway	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false
synE07000113	Swale	false	true	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false
synE07000114	Thanet	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false
synE07000115	Tonbridge and Malling	false	false	false	false	false	false	false	false	true	false	false	false	false	false	false	false	false	false	false	false	false	false
synE07000116	Tunbridge Wells	false	true	false	false	false	false	false	false	true	false	false	false	false	false	false	false	false	false	false	false	false	false
synE07000117	Burnley	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false
synE07000118	Chorley	false	false	false	false	false	false	false	false	false	false	false	false	true	false	false	true	false	false	false	false	false	false
synE07000119	Fylde	true	false	false	true	true	false	false	false	false	true	true	false	true	false	false	true	false	false	false	false	false	false
synE07000120	Hyndburn	false	false	false	false	false	false	false	false	true	false	false	false	false	false	false	true	false	false	false	false	false	false
synE07000121	Lancaster	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false
synE07000122	Pendle	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	true	false	false	false	false	false
synE07000123	Preston	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	true	true	false	false	false	false	false
synE07000124	Ribble Valley	true	false	false	true	false	false	false	false	false	false	false	false	true	false	false	true	false	false	false	false	false	false
synE07000125	Rossendale	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false
synE07000126	South Ribble	false	false	false	false	false	false	false	false	false	false	false	false	true	false	false	true	false	false	false	false	false	false
synE07000127	West Lancashire	false	false	false	false	false	false	false	false	false	false	false	false	true	false	false	true	false	false	false	true	false	false
synE07000128	Wyre	true	false	false	true	false	false	false	false	false	true	true	false	true	false	false	true	false	false	false	true	false	false
synE07000129	Blaby	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false
synE07000130	Charnwood	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false
synE07000131	Harborough	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false
synE07000132	Hinckley and Bosworth	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false
synE07000133	Melton	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	true	false	false	false	false
synE07000134	North West Leicestershire	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false
synE07000135	Oadby and Wigston	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false
synE07000136	Boston	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false
synE07000137	East Lindsey	false	false	false	true	true	false	false	false	false	true	true	false	false	false	false	false	false	false	false	false	false	false
synE07000138	Lincoln	false	false	false	false	false	false	false	false	false	false	false	false	false	false	true	false	false	false	false	false	false	false
synE07000139	North Kesteven	false	false	false	false	false	false	false	false	false	false	false	false	true	false	false	false	false	true	false	false	false	false
synE07000140	South Holland	false	false	false	false	false	false	false	false	false	false	false	false	true	false	false	false	false	false	false	false	false	false
synE07000141	South Kesteven	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false
synE07000142	West Lindsey	false	false	false	false	false	false	false	false	false	false	false	false	true	false	false	false	false	true	false	false	true	false
synE07000143	Breckland	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false
synE07000144	Broadland	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false
synE07000145	Great Yarmouth	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false
synE07000146	King's Lynn and West Norfolk	false	false	false	false	false	false	false	false	false	false	true	false	false	false	false	false	false	false	false	false	false	false
synE07000147	North Norfolk	false	false	false	false	true	false	false	false	false	true	true	false	false	false	false	false	false	true	false	false	false	false
synE07000148	Norwich	false	false	false	false	false	false	false	false	false	true	false	false	false	true	true	false	false	false	false	false	false	false
synE07000149	South Norfolk	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false
synE07000150	Corby	false	false	false	false	false	false	false	false	true	false	false	false	false	false	true	false	false	false	false	false	false	false
synE07000151	Daventry	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false
synE07000152	East Northamptonshire	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false
